shp_s,shp_p,shp_i,x,y,objectid,lsoa11cd,lsoa11nm,lsoa11nmw,st_areasha,st_lengths
7636,0,2,438229.19916641177,383020.09541454224,7637,E01007835,Sheffield 062A,Sheffield 062A,601234.1135775,5149.453106424888
7636,0,3,438262.0481743252,382985.354172387,7637,E01007835,Sheffield 062A,Sheffield 062A,601234.1135775,5149.453106424888
7636,0,4,438218.28727188875,382908.70539158955,7637,E01007835,Sheffield 062A,Sheffield 062A,601234.1135775,5149.453106424888
7636,0,5,438230.21514797775,382860.63745660865,7637,E01007835,Sheffield 062A,Sheffield 062A,601234.1135775,5149.453106424888
7636,0,6,438258.50139871007,382821.8650506127,7637,E01007835,Sheffield 062A,Sheffield 062A,601234.1135775,5149.453106424888
7636,0,7,438283.90186143416,382857.56501255324,7637,E01007835,Sheffield 062A,Sheffield 062A,601234.1135775,5149.453106424888
7636,0,8,438312.61548877094,382843.6997671345,7637,E01007835,Sheffield 062A,Sheffield 062A,601234.1135775,5149.453106424888
7636,0,9,438301.66942836717,382778.50703936775,7637,E01007835,Sheffield 062A,Sheffield 062A,601234.1135775,5149.453106424888
7636,0,10,438346.23968395015,382765.3072474395,7637,E01007835,Sheffield 062A,Sheffield 062A,601234.1135775,5149.453106424888
7636,0,11,438386.18803812715,382790.8295718885,7637,E01007835,Sheffield 062A,Sheffield 062A,601234.1135775,5149.453106424888
7636,0,12,438365.3302738309,382839.3932816261,7637,E01007835,Sheffield 062A,Sheffield 062A,601234.1135775,5149.453106424888
7636,0,13,438407.92951154645,382865.19669929636,7637,E01007835,Sheffield 062A,Sheffield 062A,601234.1135775,5149.453106424888
7636,0,14,438448.3000685801,382880.44398775056,7637,E01007835,Sheffield 062A,Sheffield 062A,601234.1135775,5149.453106424888
7636,0,15,438446.1991582781,382842.44566683663,7637,E01007835,Sheffield 062A,Sheffield 062A,601234.1135775,5149.453106424888
7636,0,16,438498.21929755027,382862.2463271195,7637,E01007835,Sheffield 062A,Sheffield 062A,601234.1135775,5149.453106424888
7636,0,17,438601.10013082944,382743.9164643593,7637,E01007835,Sheffield 062A,Sheffield 062A,601234.1135775,5149.453106424888
7636,0,18,438579.08092052984,382665.44025395636,7637,E01007835,Sheffield 062A,Sheffield 062A,601234.1135775,5149.453106424888
7636,0,19,438655.55551964865,382619.74508759344,7637,E01007835,Sheffield 062A,Sheffield 062A,601234.1135775,5149.453106424888
7636,0,20,438705.5996772715,382643.4476916492,7637,E01007835,Sheffield 062A,Sheffield 062A,601234.1135775,5149.453106424888
7636,0,21,438688.3270270387,382578.47069669777,7637,E01007835,Sheffield 062A,Sheffield 062A,601234.1135775,5149.453106424888
7636,0,22,438603.67064077675,382552.53711788857,7637,E01007835,Sheffield 062A,Sheffield 062A,601234.1135775,5149.453106424888
7636,0,23,438616.24042071856,382482.3559472266,7637,E01007835,Sheffield 062A,Sheffield 062A,601234.1135775,5149.453106424888
7636,0,24,438664.4491702539,382490.64935152535,7637,E01007835,Sheffield 062A,Sheffield 062A,601234.1135775,5149.453106424888
7636,0,25,438813.0696080079,382378.4915656101,7637,E01007835,Sheffield 062A,Sheffield 062A,601234.1135775,5149.453106424888
7636,0,26,438897.0752731232,382371.0621602601,7637,E01007835,Sheffield 062A,Sheffield 062A,601234.1135775,5149.453106424888
7636,0,27,438804.07921312423,382333.05994736357,7637,E01007835,Sheffield 062A,Sheffield 062A,601234.1135775,5149.453106424888
7636,0,28,438658.89916766394,382393.76145821303,7637,E01007835,Sheffield 062A,Sheffield 062A,601234.1135775,5149.453106424888
7636,0,29,438633.8275510473,382465.4983094937,7637,E01007835,Sheffield 062A,Sheffield 062A,601234.1135775,5149.453106424888
7636,0,30,438561.2827678193,382440.25511341554,7637,E01007835,Sheffield 062A,Sheffield 062A,601234.1135775,5149.453106424888
7636,0,31,438538.94373121776,382386.91211403074,7637,E01007835,Sheffield 062A,Sheffield 062A,601234.1135775,5149.453106424888
7636,0,32,438472.1162885081,382414.50246953225,7637,E01007835,Sheffield 062A,Sheffield 062A,601234.1135775,5149.453106424888
